Connecticut;Heritage Village;CT;4232
Connecticut;Danielson;CT;4146
Connecticut;Broad Brook;CT;4145
Connecticut;Oronoque;CT;3790
Connecticut;Collinsville;CT;3551
Delaware;Dover;DE;125931
Delaware;Wilmington;DE;70926
Delaware;Newark;DE;31393
Delaware;Middletown;DE;23001
Delaware;Bear;DE;21625
Delaware;Glasgow;DE;15342
Delaware;Brookside;DE;14202
Delaware;Hockessin;DE;13464
Delaware;Smyrna;DE;12619
Delaware;Pike Creek Valley;DE;11718
Delaware;Milford;DE;11249
Delaware;Claymont;DE;9508
Delaware;Wilmington Manor;DE;8212
Delaware;North Star;DE;8009
Delaware;Seaford;DE;7852
Delaware;Pike Creek;DE;7398
Delaware;Georgetown;DE;7079
Delaware;Edgemoor;DE;6681
Delaware;Millsboro;DE;6542
Delaware;Elsmere;DE;6167
Delaware;New Castle;DE;5482
Delaware;Highland Acres;DE;3910
Delaware;Laurel;DE;3886
Delaware;Clayton;DE;3845
Delaware;Camden;DE;3786
Delaware;Rising Sun-Lebanon;DE;3772
Delaware;Harrington;DE;3730
Delaware;Lewes;DE;3257
Delaware;Milton;DE;3224
Delaware;Dover Base Housing;DE;3135
Delaware;Long Neck;DE;3022
Delaware;Selbyville;DE;2806
Delaware;Greenville;DE;2763
Delaware;Townsend;DE;2671
Delaware;Ocean View;DE;2556
Delaware;Bridgeville;DE;2499
Delaware;Delmar;DE;2241
Delaware;Riverview;DE;2091
Delaware;Delaware City;DE;1885
Delaware;Woodside East;DE;1867
Delaware;Millville;DE;1790
Delaware;Kent Acres;DE;1756
Delaware;Cheswold;DE;1705
Delaware;Wyoming;DE;1636
Delaware;Rodney Village;DE;1472
Delaware;Greenwood;DE;1459
Delaware;Rehoboth Beach;DE;1392
Delaware;Bellefonte;DE;1294
Delaware;Newport;DE;1224
Delaware;St. Georges;DE;1197
Delaware;Felton;DE;1144
Delaware;Frankford;DE;1088
Delaware;Dagsboro;DE;1087
Delaware;Bethany Beach;DE;936
Delaware;Frederica;DE;910
Delaware;Blades;DE;857
Delaware;Ellendale;DE;771
Delaware;Lincoln;DE;758
Delaware;Arden;DE;551
Delaware;South Bethany;DE;475
District of Columbia;Washington;DC;4810669
Florida;Miami;FL;5711945
Florida;Tampa;FL;2683956
Florida;Orlando;FL;1927699
Florida;Jacksonville;FL;1220191
Florida;Sarasota;FL;727388
Florida;Cape Coral;FL;682773
Florida;Palm Bay;FL;528322
Florida;Port St. Lucie;FL;468979
Florida;Palm Coast;FL;403834
Florida;Kissimmee;FL;399929
